State Name,No College Degree,Associates or Bachelors Degree,Post Graduate Degree
Alabama,1567420.0,771175.0,83647.0
Alaska,229333.0,128518.0,13743.0
Arizona,1960152.0,1189412.0,134913.0
Arkansas,1017698.0,412898.0,45657.0
California,10129401.0,7313928.0,1026371.0
Colorado,1397665.0,1216872.0,144685.0
Connecticut,991175.0,720536.0,115081.0
Delaware,297058.0,168506.0,23649.0
District of Columbia,134739.0,128431.0,60195.0
Florida,6401511.0,4021452.0,457567.0
Georgia,2984196.0,1744426.0,222439.0
Hawaii,438198.0,311993.0,36717.0
Idaho,494067.0,295383.0,27878.0
Illinois,3632451.0,2458626.0,298432.0
Indiana,2128671.0,1077355.0,106086.0
Iowa,956128.0,621474.0,56715.0
Kansas,805360.0,545536.0,58409.0
Kentucky,1448641.0,644976.0,80326.0
Louisiana,1574505.0,652630.0,80839.0
Maine,445050.0,281727.0,30069.0
Maryland,1616648.0,1127114.0,226258.0
Massachusetts,1742177.0,1464935.0,261866.0
Michigan,3116760.0,1769912.0,193324.0
Minnesota,1526848.0,1261355.0,132114.0
Mississippi,948298.0,437529.0,45151.0
Missouri,1925829.0,1033978.0,119439.0
Montana,332576.0,206807.0,21570.0
Nebraska,538081.0,377293.0,37601.0
Nevada,948342.0,466039.0,48075.0
New Hampshire,386958.0,303312.0,31443.0
New Jersey,2521928.0,1840395.0,248895.0
New Mexico,624288.0,321645.0,47440.0
New York,5398669.0,3903105.0,585808.0
North Carolina,2891783.0,1931601.0,201417.0
North Dakota,214491.0,168272.0,11698.0
Ohio,3792469.0,2013862.0,216397.0
Oklahoma,1245437.0,616745.0,59481.0
Oregon,1179719.0,803739.0,103415.0
Pennsylvania,4195252.0,2346255.0,298968.0
Puerto Rico,979803.0,660256.0,53894.0
Rhode Island,306639.0,205398.0,28563.0
South Carolina,1508259.0,880262.0,85428.0
South Dakota,260433.0,172881.0,14382.0
Tennessee,2162074.0,1051055.0,127057.0
Texas,7487824.0,4497286.0,466003.0
Utah,739924.0,543564.0,54996.0
Vermont,185137.0,132941.0,19306.0
Virginia,2224213.0,1647956.0,242263.0
Washington,1964102.0,1547989.0,178498.0
West Virginia,698120.0,245165.0,27401.0
Wisconsin,1807506.0,1160288.0,107949.0
Wyoming,183721.0,110017.0,10103.0
