State Name,White Percentage,Black or African American Percentage,American Indian and Alaska Native Percentage,Native Hawaiian and Other Pacific Islander Percentage,Other Percentage
Alabama,0.696712703254999,0.2703032400470649,0.005270544318414964,0.0004647268537991998,0.014057724829202907
Alaska,0.7131309813391098,0.0350698081828566,0.15535205932659812,0.013427495960654108,0.015543343808999603
Arizona,0.8030478521274527,0.044557106943082195,0.04567563364667094,0.002033463592267726,0.07221245525360627
Arkansas,0.792169427161007,0.1582758741718345,0.00670171451852331,0.0024300425102593767,0.025844062981526583
California,0.6354893259373223,0.06092424617947825,0.007860906495623885,0.00409245331387179,0.14347832769953742
Colorado,0.8720543256835016,0.04214394743511808,0.009796078595779793,0.0016350300422478042,0.042971371729225306
Connecticut,0.7913901505931413,0.1079962707645392,0.002693878910071232,0.0002672350842063204,0.0527449147832956
Delaware,0.7108336821178194,0.22484609884552334,0.003795211189006313,0.0005068274563147431,0.020177182518921557
District of Columbia,0.41872888907943373,0.49159850435922325,0.0026902547550291074,0.0004425063313622152,0.047406361679257936
Florida,0.7763756788734698,0.1654991513702143,0.002870424978738717,0.0006244806114506125,0.027135610351623773
Georgia,0.6083481845458941,0.32066857251931224,0.0030661172169627175,0.0005255713493464831,0.02835797139294171
Hawaii,0.3298755493186602,0.023896746556372098,0.002544407105136822,0.1316518335241331,0.0129768455260534
Idaho,0.9345624096275026,0.006960812811713454,0.013215689750170597,0.0014521578147844913,0.029727399670645898
Illinois,0.7363952806353183,0.14617572696573558,0.0023675113283136927,0.0003408240479708054,0.06116057643989789
Indiana,0.8585055208343007,0.09488653424093559,0.002325808159133754,0.00040783286745973524,0.02256484310429687
Iowa,0.9243393921779635,0.03494243573932829,0.0035318167893360146,0.0009534039762149764,0.012936903181548016
Kansas,0.8788456568659427,0.06005193546029896,0.008377756509309707,0.0006854625268009432,0.023259743245627636
Kentucky,0.8924525995749147,0.08158087906557954,0.0021543074712464414,0.0005247138853711571,0.009518554793322571
Louisiana,0.6358475573751218,0.32794325447591294,0.005920971831349113,0.00030616673565070157,0.012285131485610163
Maine,0.9668693205207763,0.012984080561819154,0.006306948395460718,0.00019123601442641485,0.002278703834550895
Maryland,0.5847282982902888,0.30694269400486834,0.002803937257662907,0.000487386673987226,0.04078789241946667
Massachusetts,0.8143676490882088,0.07595585030295772,0.0021787909533973393,0.00034241183161301655,0.0423774536474991
Michigan,0.8099377546605221,0.14248601537567487,0.0053701454989734275,0.0002910850235718745,0.011947962124945552
Minnesota,0.8616958399125084,0.06126981295216407,0.010787660772050652,0.0003702952730009396,0.017915095191745865
Mississippi,0.5954198550957148,0.38075481694310365,0.004496842408025531,0.0002024901883837111,0.009337612874712842
Missouri,0.8448030101740236,0.11868191785493028,0.0043776829830297894,0.0010695638522529884,0.011999507082315565
Montana,0.915311170090606,0.004431450316432313,0.06676631937995642,0.0005701573074995157,0.005483894803480456
Nebraska,0.9000524792382395,0.04853950821002516,0.00866286147104174,0.0008245191657424189,0.01908512998079368
Nevada,0.7032977529518157,0.0918914501759649,0.011776755199953512,0.006907484954910129,0.10168446896371382
New Hampshire,0.9529754346084502,0.01427019939371566,0.001645147504170311,0.000221344333661648,0.0053735357957443676
New Jersey,0.6969882374500349,0.13828223247929813,0.0020622831029309023,0.0003450882477580145,0.06564419145353964
New Mexico,0.7675713819570692,0.020920425321316747,0.09778651218469601,0.0006892974422601816,0.09815992295737365
New York,0.6579892797878739,0.16142505165241391,0.004015472140494982,0.00041320889899012933,0.09010801739798446
North Carolina,0.7078058899533208,0.22031893915216733,0.012038931708308474,0.0006522558891779188,0.03172210246569662
North Dakota,0.8983426598208325,0.023851908015285,0.054265322773386956,0.00046838471829612356,0.009065510676699164
Ohio,0.8412669257564674,0.1264257787742286,0.0019360919693256183,0.0003097286851074588,0.009181742666892331
Oklahoma,0.7869902842388764,0.07896726912547021,0.080650555345338,0.0015422240523515925,0.02940492354263583
Oregon,0.8895623311133172,0.019877046459442594,0.01180224855068898,0.00394614579729094,0.03150251642621915
Pennsylvania,0.830706821359005,0.11347074424976497,0.0020006907766114087,0.0002933599398392003,0.02010816297045149
Rhode Island,0.8340807656204566,0.06668930430251688,0.005281789778326805,0.0007406019659615823,0.05851340987196075
South Carolina,0.6875282024340176,0.2781582184476754,0.003130483226586055,0.0006295628954213551,0.015520448056676113
South Dakota,0.8707604173803505,0.017666905863446283,0.08902206980939983,0.0004579596634897969,0.008037732991486277
Tennessee,0.7944088744682564,0.1714260946023765,0.0027195551620153935,0.0005857693950971225,0.013737871291726782
Texas,0.7657692523481984,0.12302559536479515,0.004879178755914966,0.0008807299425087071,0.0591517332893274
Utah,0.8932952617586813,0.011550309242789774,0.011021219256951521,0.00918761324758869,0.051739503576167314
Vermont,0.9639619638411623,0.012930661551646737,0.003382442966167408,0.00033628535281394117,0.0035864996122923726
Virginia,0.70847205006485,0.19884139327085135,0.002786596198567056,0.0006773587541652176,0.02480366628321399
Washington,0.8119036183842506,0.03863231882470775,0.013985347221955729,0.006799912741021196,0.043246771993410114
West Virginia,0.9498892824159868,0.03617642349794437,0.0018403993699873079,0.00029971585164453147,0.003984946619000212
Wisconsin,0.8789890354015517,0.06496374548438724,0.00889433226458357,0.00032154820399969746,0.01978560138746896
Wyoming,0.9375064934150168,0.010778628696404013,0.023858787813686975,0.0008276352699411675,0.01804420981082371
