Alabama,2698184.0
Alaska,1926338.0
Arizona,687250.0
Arkansas,2926881.0
California,3540712.0
Colorado,3478628.0
Connecticut,595968.0
Delaware,183884.0
District of Columbia,77649.0
Florida,3158670.0
Georgia,6879737.0
Hawaii,343315.0
Idaho,2031565.0
Illinois,5398899.0
Indiana,4772721.0
Iowa,5290172.0
Kansas,5252370.0
Kentucky,4976459.0
Louisiana,2729861.0
Maine,794893.0
Maryland,1740988.0
Massachusetts,994430.0
Michigan,3945033.0
Minnesota,5005110.0
Mississippi,3035535.0
Missouri,5110060.0
Montana,2673818.0
Nebraska,4829337.0
Nevada,966603.0
New Hampshire,649019.0
New Jersey,1618003.0
New Mexico,1359508.0
New York,3615174.0
North Carolina,4455167.0
North Dakota,3169186.0
Ohio,4553314.0
Oklahoma,3558929.0
Oregon,1746090.0
Pennsylvania,3569886.0
Puerto Rico,1436210.0
Rhode Island,349532.0
South Carolina,1937832.0
South Dakota,3326977.0
Tennessee,4086578.0
Texas,12673162.0
Utah,1717054.0
Vermont,773538.0
Virginia,7483915.0
Washington,2110386.0
West Virginia,2293605.0
Wisconsin,3877158.0
Wyoming,1358500.0
